December 2018:  Regularly Scheduled Flights Canceled 5% or More  ,,,,
,,,,
,,,,
Row Number,,,Origin,Destination
710,,,ORD,XNA
711,,,ROC,EWR
712,,,CMH,ORD
713,,,DFW,MLU
714,,,ECP,CLT
715,,,IAH,LBB
716,,,OKC,IAH
717,,,CLT,ECP
718,,,CMH,AUS
719,,,SRQ,CLE
720,,,SJC,AUS
721,,,SFB,AVL
722,,,AVL,SFB
723,,,RDU,TPA
724,,,GSO,LGA
725,,,DFW,HOU
726,,,CLT,SGF
727,,,RDU,JFK
728,,,LFT,DFW
729,,,SHV,DFW
730,,,HOU,DFW
731,,,CHO,LGA
732,,,MLU,DFW
733,,,DFW,CRP
734,,,CRP,DFW
735,,,DFW,SHV
736,,,ORD,GSO
737,,,GSP,CLT
738,,,RDU,DCA
739,,,CHS,CLT
740,,,CLT,PWM
741,,,CLT,CHS
742,,,ILM,CLT
743,,,MKE,CLT
744,,,CLT,EWN
745,,,CLT,ILM
746,,,ILM,CLT
747,,,CHO,CLT
748,,,CLT,DAB
749,,,CLT,SRQ
750,,,CAE,CLT
751,,,CLT,CAE
752,,,XNA,CLT
753,,,MLB,CLT
754,,,CLT,MKE
755,,,CLT,CHO
756,,,TYS,CLT
757,,,MYR,CLT
758,,,CLT,CRW
759,,,MQT,DTW
760,,,DTW,MQT
761,,,DFW,DTW
762,,,ASE,ORD
763,,,OKC,ORD
764,,,ONT,SFO
765,,,CLT,OAJ
766,,,CLT,MDT
767,,,PHL,GSO
768,,,OAJ,CLT
769,,,BHM,CLT
770,,,CHO,PHL
771,,,GSO,PHL
772,,,EGE,ORD
773,,,LAX,LAS
774,,,BUR,OAK
775,,,SJC,PHX
776,,,BUR,SFO
777,,,SFO,PHX
778,,,MDW,BWI
779,,,SAN,SFO
780,,,FLL,HOU
781,,,HOU,DAL
782,,,DAL,HOU
783,,,DAL,HOU
784,,,SJC,ONT
785,,,BUR,SFO
786,,,AUS,DAL
787,,,HOU,DAL
788,,,FSD,PHX
789,,,MRY,PHX
790,,,ABQ,DFW
791,,,TYS,DFW
792,,,LGA,RDU
793,,,CLT,IAD
794,,,IAH,CLT
795,,,RDU,LGA
796,,,CHO,ORD
797,,,BTR,CLT
798,,,DVL,JMS
799,,,ASE,DEN
800,,,ROA,CLT
801,,,CLT,ROA
802,,,SEA,PUW
803,,,PUW,SEA
804,,,CLT,FLO
805,,,SFO,DFW
806,,,CRP,IAH
807,,,CLT,ROA
808,,,LAX,DFW
809,,,MIA,BUF
810,,,DFW,LAX
811,,,PHX,RNO
812,,,DFW,ICT
813,,,ORD,CLT
814,,,DFW,EGE
815,,,DFW,EGE
816,,,DFW,CLT
817,,,ORD,ABQ
818,,,DFW,JAC
819,,,DFW,PHL
820,,,DFW,ABQ
821,,,ABQ,DFW
822,,,EGE,DFW
823,,,ATL,DFW
824,,,SLC,DFW
825,,,DFW,ATL
826,,,CLT,DFW
827,,,EGE,JFK
828,,,EGE,MIA
829,,,MSY,ORD
830,,,GSP,EWR
831,,,CMH,EWR
832,,,BTV,EWR
833,,,LBB,IAH
834,,,HRL,IAH
835,,,EWR,SYR
836,,,SYR,EWR
837,,,IAD,AUS
838,,,ROA,ORD
839,,,DFW,LFT
840,,,DFW,GRI
841,,,LFT,DFW
842,,,PHX,ASE
843,,,HDN,ORD
844,,,DFW,BTR
845,,,PHX,FLG
846,,,ASE,ORD
847,,,ASE,LAX
848,,,ASE,DFW
849,,,DFW,ASE
850,,,BFL,PHX
851,,,DFW,ASE
852,,,ASE,DFW
853,,,DFW,ROW
854,,,DEN,FAR
855,,,FAR,DEN
856,,,EGE,SFO
857,,,ASE,DEN
858,,,DEN,ASE
859,,,ASE,IAH
860,,,SFO,MFR
861,,,MFR,SFO
862,,,DEN,OKC
863,,,ASE,LAX
864,,,PHL,JFK
865,,,JFK,PHL
866,,,PHL,IPT
867,,,CLT,FAY
868,,,FAY,CLT
869,,,CLT,LYH
870,,,PHX,SFO
871,,,SMF,LAX
872,,,LAX,SJC
873,,,SAN,SJC
874,,,SJC,LAX
875,,,OAK,SNA
876,,,SFO,SAN
877,,,DFW,FSD
878,,,PHX,FLG
879,,,LBB,DFW
880,,,HOU,DFW
881,,,MEM,DFW
882,,,LBB,DFW
883,,,FLG,PHX
884,,,FSD,DFW
885,,,DFW,MFE
886,,,DFW,LBB
887,,,DFW,LBB
888,,,DFW,MEM
889,,,CLT,EWR
890,,,CLT,IAH
891,,,ORD,ROA
892,,,FLL,DFW
893,,,CLE,LGA
894,,,HNL,JHM
895,,,JHM,HNL
896,,,ROA,CLT
897,,,CLT,ROA
898,,,TYS,DTW
899,,,AVL,ATL
900,,,ATL,CSG
901,,,ATL,GTR
902,,,ATL,AVL
903,,,ATL,AEX
904,,,GTR,ATL
905,,,XNA,ATL
906,,,ATL,TYS
907,,,ATL,AVL
908,,,DTW,MDT
909,,,ATL,XNA
910,,,PIA,ATL
911,,,AVL,ATL
912,,,DFW,PDX
913,,,DFW,MSP
914,,,MSP,DFW
915,,,MCI,DFW
916,,,DFW,BNA
917,,,AUS,PHX
918,,,RNO,PHX
919,,,PDX,PHX
920,,,DFW,SEA
921,,,PHX,PDX
922,,,PHX,ORD
923,,,PHX,RNO
924,,,PHX,STL
925,,,TPA,PHX
926,,,ATL,PHX
927,,,DFW,PHX
928,,,PHL,MCO
929,,,TPA,DFW
930,,,MCO,PHL
931,,,PHX,AUS
932,,,LAN,DCA
933,,,EWR,BUF
934,,,SEA,GEG
935,,,LAS,SAN
936,,,GEG,SEA
937,,,SLC,IAH
938,,,PDX,SEA
939,,,SEA,PDX
940,,,IAH,SLC
941,,,MCI,IAH
942,,,IAH,MCI
943,,,CLE,SRQ
944,,,SFB,BIS
945,,,BIS,SFB
946,,,SFB,FAR
947,,,SFB,ROC
948,,,FAR,SFB
949,,,ROC,SFB
950,,,ATL,DEN
951,,,BNA,LGA
952,,,RDU,DCA
953,,,FAR,MSP
954,,,MSP,GFK
955,,,MSP,RAP
956,,,MSP,FAR
957,,,SFO,ASE
958,,,MSP,GFK
959,,,GFK,MSP
960,,,GFK,MSP
961,,,SFO,MFR
